"관광안내소명",안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자
"서귀포종합관광안내소",천지연폭포 주차장,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,문화관광해설,설날. 추석 당일,09:00,18:00,09:00,18:00,4,Y,Y,Y,,064-732-1330,제주특별자치도 서귀포시 남성중로 2-13,제주특별자치도 서귀포시 서홍동 669,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.2444524,126.5597453,2019-06-30
"정방폭포 관광안내소",정방폭포 주차장,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,문화관광해설,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-732-1393,제주특별자치도 서귀포시 칠십리로214번길 33,제주특별자치도 서귀포시 동홍동 279-3,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.2447371,126.5734888,2019-06-30
"제주월드컵경기장 관광안내소",구 월드컵경기장 매표소 건물,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-739-1391,제주특별자치도 서귀포시 월드컵로 33,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.24621974,126.5092777,2019-06-30
"주상절리 관광안내소",주상절리대 방문객센터,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,문화관광해설,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-738-1393,제주특별자치도 서귀포시 이어도로 36-30,제주특별자치도 서귀포시 중문동 2768-1,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.23799399,126.4260174,2019-06-30
"천제연폭포 관광안내소",천제연폭포 매표소 맞은편,제주특별자치도,서귀포시,서귀포시 관광 전반에 관한 안내정보를 제공합니다.,,설날. 추석 당일,09:00,18:00,09:00,18:00,2,Y,Y,Y,,064-739-1393,제주특별자치도 서귀포시 천제연로 132,제주특별자치도 서귀포시 중문동 2232,제주특별자치도 서귀포시청,www.seogwipo.go.kr,33.2526828,126.4184383,2019-06-30
