시도,군구,관광지,구분,세부구분,내/외국인,총계,2017년,2018년,2019년,
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,측정,내국인,"3,068,716","1,417,292","1,182,598","468,826",
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,측정,외국인,"287,823","106,536","122,544","58,743",
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,측정,합계,"3,356,539","1,523,828","1,305,142","527,569",
제주특별자치도,서귀포시,천제연폭포,유료,측정,내국인,"1,274,681","567,525","487,704","219,452",
제주특별자치도,서귀포시,천제연폭포,유료,측정,외국인,"175,862","61,609","76,556","37,697",
제주특별자치도,서귀포시,천제연폭포,유료,측정,합계,"1,450,543","629,134","564,260","257,149",
제주특별자치도,서귀포시,천지연폭포,유료,측정,내국인,"3,657,415","1,738,680","1,331,102","587,633",
제주특별자치도,서귀포시,천지연폭포,유료,측정,외국인,"154,064","68,991","63,840","21,233",
제주특별자치도,서귀포시,천지연폭포,유료,측정,합계,"3,811,479","1,807,671","1,394,942","608,866",
제주특별자치도,서귀포시,카멜리아힐,유료,측정,내국인,"816,830",-,"519,306","297,524",
제주특별자치도,서귀포시,카멜리아힐,유료,측정,외국인,"39,522",-,"15,941","23,581",
제주특별자치도,서귀포시,카멜리아힐,유료,측정,합계,"856,352",-,"535,247","321,105",
제주특별자치도,서귀포시,퍼시픽랜드,유료,측정,내국인,"403,359",-,-,"403,359",
제주특별자치도,서귀포시,퍼시픽랜드,유료,측정,외국인,0,-,-,0,
제주특별자치도,서귀포시,퍼시픽랜드,유료,측정,합계,"403,359",-,-,"403,359",
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,측정,내국인,"2,558,323","1,184,768","937,239","436,316",
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,측정,외국인,"148,143","45,467","58,319","44,357",
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,측정,합계,"2,706,466","1,230,235","995,558","480,673",
제주특별자치도,서귀포시,제주추사관,무료,측정,내국인,"178,380","26,063","114,432","37,885",
제주특별자치도,서귀포시,제주추사관,무료,측정,외국인,345,12,263,70,
제주특별자치도,서귀포시,제주추사관,무료,측정,합계,"178,725","26,075","114,695","37,955",
