"관광안내소명",안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자
"탑동 관광안내소",제주시 탑동해변공연장 앞,제주특별자치도,제주시,,,설날. 추석 당일,09:00,18:00,09:00,18:00,,Y,Y,N,,064-728-3919,제주특별자치도 제주시 탑동로2길 4,제주특별자치도 제주시 삼도2동 1263,제주특별자치도 제주시청,,33.5178860,126.5234135,2019-05-16
"용두암 관광안내소",용두암 주차장,제주특별자치도,제주시,,,설날. 추석 당일,09:00,18:00,09:00,18:00,,Y,Y,Y,,064-728-3918,제주특별자치도 제주시 용두암길 15,제주특별자치도 제주시 용담2동 483,제주특별자치도 제주시청,,33.5149624,126.5116869,2019-05-16
"터미널 관광안내소",제주시외버스터미널 입구,제주특별자치도,제주시,,,설날. 추석 당일,09:00,18:00,09:00,18:00,,Y,Y,Y,,064-728-3920,제주특별자치도 제주시 서광로 174,제주특별자치도 제주시 오라1동 2441-1,제주특별자치도 제주시청,,33.4997233,126.5149932,2019-05-16
"연동 관광안내소",신제주 공영주차장 인근,제주특별자치도,제주시,,,설날. 추석 당일,09:00,18:00,09:00,18:00,,Y,Y,Y,,064-728-3878,제주특별자치도 제주시 신대로12길 54,제주특별자치도 제주시 연동 272-56,제주특별자치도 제주시청,,33.488942103,126.490899209,2019-05-16
