제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2015. 6.30 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남자 인구수,여자 인구수,증감,전월,당월,증감,전월,당월,남,여,증감
정방동,"2,764 ","2,760","1,393","1,367",-4,"2,702","2,699","1,364 ","1,335 ",-3,"1,501 ","1,507 ",6,62,61,29 ,32 ,-1
중앙동,"4,532 ","4,521","2,166","2,355",-11,"4,475","4,462","2,141 ","2,321 ",-13,"2,352 ","2,340 ",-12,57,59,25 ,34 ,2
천지동,"4,045 ","4,035","2,068","1,967",-10,"3,980","3,968","2,023 ","1,945 ",-12,"1,999 ","2,002 ",3,65,67,45 ,22 ,2
효돈동,"5,085 ","5,097","2,584","2,513",12,"5,027","5,041","2,550 ","2,491 ",14,"1,977 ","1,989 ",12,58,56,34 ,22 ,-2
영천동,"5,110 ","5,113","2,599","2,514",3,"5,034","5,033","2,552 ","2,481 ",-1,"2,177 ","2,174 ",-3,76,80,47 ,33 ,4
동홍동,"23,530 ","23,594","11,491","12,103",64,"22,363","22,419","10,897 ","11,522 ",56,"8,136 ","8,172 ",36,"1,167","1,175",594 ,581 ,8
서홍동,"9,977 ","9,977","5,014","4,963",,"9,887","9,884","4,957 ","4,927 ",-3,"3,975 ","3,971 ",-4,90,93,57 ,36 ,3
대륜동,"10,468 ","10,503","5,299","5,204",35,"10,344","10,387","5,246 ","5,141 ",43,"4,135 ","4,148 ",13,124,116,53 ,63 ,-8
대천동,"7,618 ","7,628","3,866","3,762",10,"7,518","7,519","3,801 ","3,718 ",1,"3,219 ","3,223 ",4,100,109,65 ,44 ,9
중문동,"9,584 ","9,660","4,942","4,718",76,"9,398","9,467","4,848 ","4,619 ",69,"3,993 ","4,036 ",43,186,193,94 ,99 ,7
예래동,"3,816 ","3,826","1,930","1,896",10,"3,713","3,724"," 1,870 "," 1,854 ",11,"1,610 ","1,613 ",3,103,102, 60 , 42 ,-1
"※ 전월대비 1,595 증가(내국인 1,392, 외국인 203 / 제주시 1,208, 서귀포시 387 )",,,,,,,,,,,,,,,,,,
출처 : 행정자치부 주민등록통계 및 출입국관리법에 의거 외국인등록표에 등재된 외국인,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
