제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2016. 12. 31일 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남자 인구수,여자 인구수,증감,전월,당월,증감,전월,당월,남,여,증감
송산동,"5,050 ","5,032","2,721","2,311",-18,"4,661","4,645","2,412 ","2,233 ",-16,"2,109 ","2,095 ",-14,389,387,309 ,78 ,-2
정방동,"2,704 ","2,710","1,395","1,315",6,"2,635","2,641","1,361 ","1,280 ",6,"1,502 ","1,498 ",-4,69,69,34 ,35 ,
중앙동,"4,333 ","4,315","2,085","2,230",-18,"4,263","4,243","2,053 ","2,190 ",-20,"2,247 ","2,239 ",-8,70,72,32 ,40 ,2
천지동,"3,859 ","3,875","1,984","1,891",16,"3,785","3,798","1,943 ","1,855 ",13,"1,917 ","1,932 ",15,74,77,41 ,36 ,3
효돈동,"5,223 ","5,265","2,687","2,578",42,"5,156","5,193","2,639 ","2,554 ",37,"2,116 ","2,128 ",12,67,72,48 ,24 ,5
영천동,"5,150 ","5,134","2,633","2,501",-16,"5,020","4,997","2,549 ","2,448 ",-23,"2,215 ","2,216 ",1,130,137,84 ,53 ,7
동홍동,"24,100 ","24,106","11,759","12,347",6,"22,813","22,806","11,098 ","11,708 ",-7,"8,486 ","8,488 ",2,"1,287","1,300",661 ,639 ,13
서홍동,"10,613 ","10,666","5,307","5,359",53,"10,479","10,530","5,246 ","5,284 ",51,"4,170 ","4,192 ",22,134,136,61 ,75 ,2
대륜동,"13,437 ","13,422","6,793","6,629",-15,"13,289","13,271","6,725 ","6,546 ",-18,"5,389 ","5,391 ",2,148,151,68 ,83 ,3
대천동,"8,887 ","9,124","4,687","4,437",237,"8,745","8,980","4,621 ","4,359 ",235,"3,902 ","3,963 ",61,142,144,66 ,78 ,2
중문동,"10,411 ","10,457","5,414","5,043",46,"10,167","10,217","5,294 ","4,923 ",50,"4,467 ","4,503 ",36,244,240,120 ,120 ,-4
예래동,"3,953 ","3,957","2,000","1,957",4,"3,825","3,813"," 1,930 "," 1,883 ",-12,"1,706 ","1,704 ",-2,128,144, 70 , 74 ,16
"※ 전월대비 1,275명 증가(내국인 1,109 외국인 166 / 제주시 665, 서귀포시 610 )",,,,,,,,,,,,,,,,,,
출처 : 행정자치부 주민등록통계 및 출입국관리법에 의거 외국인등록표에 등재된 외국인,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
