제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2019. 10. 31. 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남,여,증감,전월,당월,증감,전월,당월,남,여,증감
대정읍,"23,162","23,132 ","11,404 ","11,728 ",-30 ,"21,379 ","21,348 ","10,409 ","10,939 ",-31 ,"10,024 ","10,027 ",3 ,"1,783 ","1,784 ",995 ,789 ,1 
남원읍,"19,860","19,801 ","10,298 ","9,503 ",-59 ,"19,049 ","18,990 ","9,768 ","9,222 ",-59 ,"8,497 ","8,479 ",-18 ,811 ,811 ,530 ,281 ,0 
성산읍,"17,396","17,388 ","9,341 ","8,047 ",-8 ,"15,606 ","15,606 ","8,166 ","7,440 ",0 ,"7,980 ","8,002 ",22 ,"1,790 ","1,782 ","1,175 ",607 ,-8 
안덕면,"12,749","12,702 ","6,516 ","6,186 ",-47 ,"11,981 ","11,967 ","6,171 ","5,796 ",-14 ,"6,147 ","6,155 ",8 ,768 ,735 ,345 ,390 ,-33 
표선면,"12,775","12,753 ","6,627 ","6,126 ",-22 ,"12,330 ","12,309 ","6,336 ","5,973 ",-21 ,"6,039 ","6,046 ",7 ,445 ,444 ,291 ,153 ,-1 
송산동,"4,876","4,874 ","2,701 ","2,173 ",-2 ,"4,274 ","4,269 ","2,264 ","2,005 ",-5 ,"2,042 ","2,050 ",8 ,602 ,605 ,437 ,168 ,3 
정방동,"2,406","2,419 ","1,220 ","1,199 ",13 ,"2,284 ","2,294 ","1,154 ","1,140 ",10 ,"1,317 ","1,318 ",1 ,122 ,125 ,66 ,59 ,3 
중앙동,"3,851","3,850 ","1,833 ","2,017 ",-1 ,"3,749 ","3,747 ","1,781 ","1,966 ",-2 ,"2,058 ","2,055 ",-3 ,102 ,103 ,52 ,51 ,1 
천지동,"3,677","3,678 ","1,870 ","1,808 ",1 ,"3,560 ","3,559 ","1,806 ","1,753 ",-1 ,"1,932 ","1,934 ",2 ,117 ,119 ,64 ,55 ,2 
효돈동,"5,380","5,386 ","2,737 ","2,649 ",6 ,"5,301 ","5,303 ","2,685 ","2,618 ",2 ,"2,279 ","2,282 ",3 ,79 ,83 ,52 ,31 ,4 
영천동,"5,556","5,545 ","2,875 ","2,670 ",-11 ,"5,365 ","5,350 ","2,745 ","2,605 ",-15 ,"2,460 ","2,460 ",0 ,191 ,195 ,130 ,65 ,4 
동홍동,"24,301","24,334 ","11,923 ","12,411 ",33 ,"23,023 ","23,061 ","11,300 ","11,761 ",38 ,"9,072 ","9,104 ",32 ,"1,278 ","1,273 ",623 ,650 ,-5 
서홍동,"10,572","10,546 ","5,231 ","5,315 ",-26 ,"10,451 ","10,421 ","5,165 ","5,256 ",-30 ,"4,223 ","4,213 ",-10 ,121 ,125 ,66 ,59 ,4 
대륜동,"14,579","14,595 ","7,357 ","7,238 ",16 ,"14,353 ","14,374 ","7,259 ","7,115 ",21 ,"6,124 ","6,133 ",9 ,226 ,221 ,98 ,123 ,-5 
대천동,"14,034","14,032 ","7,110 ","6,922 ",-2 ,"13,800 ","13,804 ","7,007 ","6,797 ",4 ,"6,204 ","6,205 ",1 ,234 ,228 ,103 ,125 ,-6 
중문동,"11,579","11,567 ","5,943 ","5,624 ",-12 ,"11,240 ","11,233 ","5,773 ","5,460 ",-7 ,"5,207 ","5,207 ",0 ,339 ,334 ,170 ,164 ,-5 
예래동,"4,324","4,295 ","2,188 ","2,107 ",-29 ,"4,042 ","4,014 ","2,053 ","1,961 ",-28 ,"1,964 ","1,951 ",-13 ,282 ,281 ,135 ,146 ,-1 
" ※ 전월대비 149명 증가(내국인 128, 외국인 21 / 제주시 329, 서귀포시 -180 )",,,,,,,,,,,,,,,,,,
출처 : 행정안전부 주민등록통계 및 출입국관리법에 의거 외국인등록표에 등재된 외국인,,,,,,,,,,,,,,,,,,
