2018년도 시군구별 교통사고,,,,
,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
경남,양산시,"1,106",27,"1,612"
경남,고성군,243,21,352
경남,사천시,607,13,973
경남,남해군,187,6,276
경남,하동군,149,10,191
경남,산청군,183,11,280
경남,함양군,165,15,263
경남,거창군,242,8,324
경남,합천군,168,9,221
경남,창원시(통합),"2,916",64,"4,053"
제주,합계,"4,239",82,"6,611"
제주,제주시,"3,003",42,"4,531"
제주,서귀포시,"1,236",40,"2,080"
대구,합계,"13,199",120,"19,332"
대구,중구,"1,020",5,"1,472"
대구,동구,"1,718",20,"2,444"
대구,서구,"1,250",17,"1,773"
대구,남구,859,5,"1,257"
대구,북구,"2,358",25,"3,414"
대구,수성구,"2,016",20,"3,064"
대구,달서구,"3,110",13,"4,629"
대구,달성군,868,15,"1,279"
인천,합계,"7,632",113,"10,976"
인천,중구,493,14,787
인천,동구,156,2,216
인천,남구,"1,127",17,"1,590"
인천,부평구,"1,109",10,"1,585"
인천,남동구,"1,707",11,"2,509"
인천,서구,"1,314",19,"1,823"
인천,연수구,687,17,978
인천,계양구,802,14,"1,135"
인천,강화군,202,7,300
인천,옹진군,35,2,53
광주,합계,"7,459",76,"11,977"
광주,동구,509,3,767
광주,서구,"1,952",11,"3,170"
광주,북구,"2,269",25,"3,647"
광주,광산구,"1,960",26,"3,219"
광주,남구,769,11,"1,174"
대전,합계,"7,554",93,"11,432"
대전,동구,"1,258",24,"1,811"
대전,중구,"1,128",12,"1,657"
대전,서구,"2,310",22,"3,476"
대전,유성구,"1,961",22,"3,201"
대전,대덕구,897,13,"1,287"
울산,합계,"3,992",79,"5,777"
울산,중구,769,10,"1,080"
울산,남구,"1,254",23,"1,757"
울산,동구,507,6,641
울산,북구,632,16,991
울산,울주군,830,24,"1,308"
세종,합계,795,20,"1,142"
세종,세종,795,20,"1,142"
