업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
일반음식점,은수네해장국,제주특별자치도 서귀포시 중앙로 163 (서홍동),제주특별자치도 서귀포시 서홍동 311번지 3호 외3필지 ,33.2593881,126.5591664,2018-02-23
일반음식점,왕호랑이막창,제주특별자치도 서귀포시 동홍남로 52 (동홍동),제주특별자치도 서귀포시 동홍동 413번지 2호 ,33.2567824,126.5738714,2018-02-23
일반음식점,영풍해장국,제주특별자치도 서귀포시 대정읍 하모중앙로 84,제주특별자치도 서귀포시 대정읍 하모리 939번지 2호 ,33.2207825,126.2518737,2018-02-23
일반음식점,오일장장터식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,오일장본전식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,무진장식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,오일장어머니식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,오일장왕십리식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,풍년식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,일번지식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,중문점보관광식당,제주특별자치도 서귀포시 소보리당로164번길 61 (상예동),제주특별자치도 서귀포시 상예동 2844번지 외3필지 ,33.263534,126.384476,2018-02-23
일반음식점,오일장맛나식당,제주특별자치도 서귀포시 토평서로11번길 150 (동홍동),제주특별자치도 서귀포시 동홍동 774번지 3호 외6필지 ,33.2664252,126.5734808,2018-02-23
일반음식점,부두회수산,제주특별자치도 서귀포시 칠십리로 55 (서귀동),제주특별자치도 서귀포시 서귀동 669번지 4호 ,33.2401855,126.5624257,2018-02-23
일반음식점,한라연회,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),제주특별자치도 서귀포시 색달동 3039번지 3호 ,33.2475582,126.4081161,2018-02-23
일반음식점,동성수산별관,제주특별자치도 서귀포시 대정읍 최남단해안로 46,제주특별자치도 서귀포시 대정읍 하모리 2133번지 1호 ,33.2164454,126.2520233,2018-02-23
일반음식점,누가빌리지(주),제주특별자치도 서귀포시 산록남로 2704 (토평동),제주특별자치도 서귀포시 토평동 3201번지 ,33.3017887,126.5095926,2018-02-23
일반음식점,오랑주리,제주특별자치도 서귀포시 남원읍 하례로 296,제주특별자치도 서귀포시 남원읍 하례리 773번지 8호 외2필지 ,33.2736501,126.6231687,2018-02-23
일반음식점,율스버거,제주특별자치도 서귀포시 월드컵로 18 (강정동),제주특별자치도 서귀포시 강정동 234번지 ,33.2479574,126.5071097,2018-02-23
일반음식점,신토불이,제주특별자치도 서귀포시 대정읍 서삼중로 94,제주특별자치도 서귀포시 대정읍 무릉리 2892번지 1호 ,33.2711473,126.2025341,2018-02-23
일반음식점,쇠소깍향기가득,제주특별자치도 서귀포시 쇠소깍로 94 (하효동),제주특별자치도 서귀포시 하효동 988번지 6호 ,33.2555387,126.621972,2018-02-23
일반음식점,여원숯불갈비,제주특별자치도 서귀포시 중산간동로 8016-3 (동홍동),제주특별자치도 서귀포시 동홍동 1585번지 ,33.2646569,126.5603216,2018-02-23
일반음식점,마시카호프,제주특별자치도 서귀포시 성산읍 성산중앙로 59-1,제주특별자치도 서귀포시 성산읍 성산리 219번지 8호 지하1층 ,33.4647727,126.9346932,2018-02-23
일반음식점,BHC서귀행복점,제주특별자치도 서귀포시 홍중로 64-1 1층 (서홍동),제주특별자치도 서귀포시 서홍동 342번지 5호 ,33.2583792,126.556763,2018-02-23
일반음식점,한옥집,제주특별자치도 서귀포시 서홍로 41 (서홍동),제주특별자치도 서귀포시 서홍동 1194번지 15호 ,33.2515346,126.5534589,2018-02-23
일반음식점,무주향,제주특별자치도 서귀포시 남원읍 위미해안로 118-5,제주특별자치도 서귀포시 남원읍 위미리 3032번지 2호 ,33.2700443,126.6541023,2018-02-23
일반음식점,괸당네식당,제주특별자치도 서귀포시 성산읍 독자봉로 2,제주특별자치도 서귀포시 성산읍 신산리 1009번지 1호 외1필지 ,33.3832449,126.8768829,2018-02-23
일반음식점,건축카페,제주특별자치도 서귀포시 칠십리로 109 (서귀동),제주특별자치도 서귀포시 서귀동 8번지 1호 ,33.2421005,126.5667194,2018-02-23
일반음식점,해수식당,제주특별자치도 서귀포시 남원읍 남태해안로 137-1,제주특별자치도 서귀포시 남원읍 남원리 91번지 22호 ,33.2781372,126.7198291,2018-02-23
일반음식점,해비치불턱,제주특별자치도 서귀포시 표선면 민속해안로 384,제주특별자치도 서귀포시 표선면 표선리 1194번지 4호 ,33.3125215,126.8374024,2018-02-23
일반음식점,사계짬뽕,제주특별자치도 서귀포시 대정읍 상모로290번길 21,제주특별자치도 서귀포시 대정읍 상모리 3940번지 5호 ,33.2234929,126.2562649,2018-02-23
일반음식점,노블컨벤션웨딩홀,제주특별자치도 서귀포시 중앙로 163 (서홍동),제주특별자치도 서귀포시 서홍동 311번지 3호 외3필지 ,33.2593881,126.5591664,2018-02-23
일반음식점,딕시,제주특별자치도 서귀포시 일주동로 8592 (동홍동),제주특별자치도 서귀포시 동홍동 116번지 7호 ,33.2549296,126.5703335,2018-02-23
일반음식점,블랑마레,제주특별자치도 서귀포시 이어도로 1051 (서호동),제주특별자치도 서귀포시 서호동 28번지 ,33.2457004,126.5232408,2018-02-23
일반음식점,동백정원,제주특별자치도 서귀포시 이어도로343번길 117 (대포동),제주특별자치도 서귀포시 대포동 1048번지 외1필지 ,33.249632,126.4464808,2018-02-23
일반음식점,신쭈,제주특별자치도 서귀포시 중앙로62번길 23 (서귀동),제주특별자치도 서귀포시 서귀동 279번지 6호 ,33.2506928,126.5637538,2018-02-23
일반음식점,흑돼지일번지,제주특별자치도 서귀포시 남원읍 남조로 5,제주특별자치도 서귀포시 남원읍 남원리 207번지 7호 외 1필지 ,33.2780552,126.719825,2018-02-23
일반음식점,집밥,제주특별자치도 서귀포시 문부로 32 (동홍동),제주특별자치도 서귀포시 동홍동 410번지 2호 ,33.2519689,126.5714462,2018-02-23
일반음식점,맛나리,제주특별자치도 서귀포시 동문로 34 (서귀동),제주특별자치도 서귀포시 서귀동 270번지 2호 ,33.250576,126.564407,2018-02-23
일반음식점,(주)제주마켓물류센타킹마트모슬포지점,제주특별자치도 서귀포시 대정읍 동일하모로 158-3,제주특별자치도 서귀포시 대정읍 하모리 1224번지 ,33.2253598,126.2484874,2018-02-23
일반음식점,텐피자,제주특별자치도 서귀포시 대정읍 형제해안로 268,제주특별자치도 서귀포시 대정읍 상모리 85번지 ,33.2109096,126.2919257,2018-02-23
