












;[1]
"　",,"응답자수","비율"
"[전체]",,"6,181","100.0"
"거주지","서울특별시","1,467","23.7"
,"부산광역시","724","11.7"
,"대구광역시","538","8.7"
,"인천광역시","375","6.1"
,"광주광역시","215","3.5"
,"대전광역시","185","3.0"
,"울산광역시","187","3.0"
,"세종자치시","34","0.5"
,"경기도","1,284","20.8"
,"강원도","99","1.6"
,"충청도","262","4.2"
,"전라도","385","6.2"
,"경상도","416","6.7"
,"기타 지역","11","0.2"
"성별","남자","2,600","42.1"
,"여자","3,581","57.9"
"연령","15세 - 20세","127","2.1"
,"21세 - 30세","1,412","22.9"
,"31세 - 40세","1,518","24.6"
,"41세 - 50세","1,250","20.2"
,"51세 - 60세","1,371","22.2"
,"61세 이상","503","8.1"
"방문목적","휴가 및 순수여행","5,571","90.1"
,"비즈니스여행","405","6.6"
,"기타여행","204","3.3"
"여행형태","개별여행","5,884","95.2"
,"패키지여행","248","4.0"
,"부분패키지여행","49","0.8"
"방문횟수","1회","1,934","31.3"
,"2회","2,483","40.2"
,"3회","813","13.2"
,"4회 이상","951","15.4"
;




;[2]
"　",,"응답자수","1일","2일","3일","4일","5일","6일"
,"비즈니스여행","359","10.1 ","20.4 ","10.7 ","28.8 ","7.2 ","7.4 ","15.3 ","120,514"
,"기타여행","196","15.6 ","14.5 ","5.4 ","15.8 ","4.3 ","5.2 ","39.3 ","87,967"
"방문횟수","1회","5,884","16.0 ","27.1 ","20.4 ","26.7 ","4.5 ","2.2 ","3.1 ","89,747"
,"2회","1,833","15.5 ","25.8 ","21.4 ","27.2 ","4.5 ","2.2 ","3.5 ","89,705"
,"3회","2,370","16.2 ","22.4 ","20.3 ","26.2 ","7.3 ","3.6 ","4.0 ","99,609"
,"4회 이상","773","12.5 ","16.8 ","14.5 ","27.7 ","7.0 ","7.3 ","14.3 ","118,784"
;



;[41]
"　",,"응답자수","5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 30만원 미만","30만원 이상 - 50만원 미만","50만원 이상","경험 없음","[평균]"
"[전체]",,"5,884","25.5 ","29.3 ","21.4 ","1.1 ","0.7 ","22.0 ","62,262"
"거주지","서울시","1,424","23.5 ","29.1 ","20.3 ","1.1 ","0.9 ","25.2 ","60,670"
,"부산시","697","22.1 ","29.5 ","23.1 ","1.8 ","0.9 ","22.6 ","66,820"
,"대구시","512","28.0 ","32.8 ","17.9 ","1.0 ","0.2 ","20.0 ","58,609"
,"인천시","353","30.1 ","30.9 ","17.8 ","0.0 ","0.4 ","20.7 ","55,157"
,"광주시","205","29.2 ","25.3 ","20.7 ","2.9 ","0.7 ","21.2 ","70,989"
,"대전시","168","28.3 ","29.3 ","18.7 ","2.0 ","0.0 ","21.6 ","58,742"
,"울산시","176","26.7 ","25.4 ","23.6 ","1.5 ","0.6 ","22.2 ","63,197"
,"세종시","32","23.0 ","37.1 ","19.7 ","0.6 ","0.0 ","19.7 ","64,295"
,"경기도","1,226","27.7 ","29.8 ","20.4 ","0.8 ","0.5 ","20.7 ","58,652"
,"강원도","95","21.9 ","30.7 ","25.2 ","0.0 ","1.3 ","20.8 ","67,181"
,"충청도","239","26.3 ","25.0 ","25.9 ","0.5 ","0.6 ","21.7 ","62,659"
,"전라도","361","24.3 ","28.8 ","25.5 ","1.3 ","1.3 ","18.7 ","73,018"
,"경상도","385","23.3 ","28.3 ","26.3 ","0.6 ","0.6 ","20.9 ","63,944"
,"기타 지역","11","0.0 ","33.6 ","21.5 ","11.4 ","10.1 ","23.3 ","189,196"
"성별","남자","2,456","22.7 ","26.9 ","22.0 ","1.3 ","0.6 ","26.4 ","61,343"
,"여자","3,428","27.5 ","31.1 ","20.9 ","1.0 ","0.7 ","18.8 ","62,920"
"연령","15세 - 20세","103","39.6 ","26.0 ","8.4 ","1.3 ","1.2 ","23.5 ","50,962"
,"21세 - 30세","1,388","30.4 ","24.5 ","14.0 ","0.9 ","0.5 ","29.6 ","47,240"
,"31세 - 40세","1,491","27.3 ","29.5 ","18.4 ","0.8 ","1.0 ","23.0 ","58,602"
,"41세 - 50세","1,202","25.3 ","30.9 ","22.7 ","1.2 ","0.6 ","19.2 ","66,842"
,"51세 - 60세","1,267","18.5 ","32.4 ","29.1 ","1.4 ","0.5 ","18.1 ","73,211"
,"61세 이상","433","21.2 ","31.5 ","32.6 ","1.7 ","0.8 ","12.2 ","80,983"
"방문목적","휴가 및 순수여행","5,329","26.7 ","30.9 ","21.4 ","1.0 ","0.7 ","19.3 ","62,749"
,"비즈니스여행","359","9.3 ","14.0 ","21.5 ","1.5 ","0.5 ","53.2 ","49,259"
,"기타여행","196","21.5 ","14.1 ","20.4 ","3.7 ","1.9 ","38.4 ","72,825"
"방문횟수","1회","1,833","29.7 ","27.9 ","20.7 ","1.0 ","0.8 ","19.9 ","61,897"
,"2회","2,370","26.5 ","33.6 ","20.5 ","1.0 ","0.3 ","18.2 ","60,956"
,"3회","773","20.4 ","29.8 ","23.3 ","0.9 ","1.0 ","24.7 ","62,795"
,"4회 이상","908","18.8 ","20.6 ","23.7 ","1.9 ","1.3 ","33.7 ","65,951"
;



;[42]
"　",,"응답자수","3만원 미만","3만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 20만원 미만","20만원 이상","경험 없음","[평균]"
"[전체]",,"5,884","2.3 ","1.5 ","21.4 ","55.9 ","17.5 ","1.2 ","138,575"
"거주지","서울시","1,424","2.3 ","1.3 ","19.1 ","55.1 ","20.2 ","2.0 ","143,725 "
,"부산시","697","1.7 ","0.9 ","18.6 ","57.7 ","20.1 ","1.1 ","144,257 "
,"대구시","512","2.3 ","1.0 ","23.5 ","57.8 ","14.7 ","0.7 ","130,217 "
,"인천시","353","1.2 ","1.8 ","24.7 ","57.7 ","13.5 ","1.1 ","135,425 "
,"광주시","205","3.2 ","3.0 ","21.0 ","53.3 ","19.6 ","0.0 ","152,337 "
,"대전시","168","3.7 ","0.8 ","18.9 ","61.7 ","14.2 ","0.7 ","148,345 "
,"울산시","176","1.3 ","0.6 ","24.6 ","52.1 ","21.3 ","0.0 ","141,320 "
,"세종시","32","0.0 ","0.0 ","11.7 ","63.4 ","21.5 ","3.4 ","146,708 "
,"경기도","1,226","1.9 ","2.0 ","23.5 ","56.6 ","14.7 ","1.3 ","129,364 "
,"강원도","95","7.5 ","2.5 ","18.0 ","49.8 ","22.3 ","0.0 ","144,839 "
,"충청도","239","3.6 ","2.3 ","22.2 ","52.8 ","18.4 ","0.7 ","135,143 "
,"전라도","361","2.2 ","0.9 ","18.9 ","60.1 ","16.3 ","1.5 ","145,290 "
,"경상도","385","3.9 ","2.4 ","26.7 ","49.5 ","16.8 ","0.6 ","131,575 "
,"기타 지역","11","0.0 ","11.4 ","11.9 ","43.7 ","33.0 ","0.0 ","201,889 "
"성별","남자","2,456","2.7 ","1.4 ","19.6 ","53.7 ","21.1 ","1.4 ","146,049 "
,"여자","3,428","2.1 ","1.6 ","22.8 ","57.5 ","15.0 ","1.0 ","133,222 "
"연령","15세 - 20세","103","6.0 ","10.6 ","27.0 ","42.1 ","13.2 ","1.1 ","111,760 "
,"21세 - 30세","1,388","3.2 ","2.0 ","19.4 ","59.5 ","14.6 ","1.4 ","129,915 "
,"31세 - 40세","1,491","1.9 ","1.3 ","23.6 ","54.6 ","17.8 ","0.9 ","139,367 "
,"41세 - 50세","1,202","2.2 ","1.6 ","23.2 ","54.3 ","17.4 ","1.4 ","138,092 "
,"51세 - 60세","1,267","2.0 ","0.8 ","18.9 ","55.9 ","21.3 ","1.1 ","146,293 "
,"61세 이상","433","1.5 ","1.0 ","22.0 ","57.5 ","16.5 ","1.5 ","148,772 "
"방문목적","휴가 및 순수여행","5,329","1.6 ","1.3 ","21.3 ","57.9 ","17.0 ","0.9 ","138,072 "
,"비즈니스여행","359","9.0 ","3.3 ","22.8 ","40.2 ","22.0 ","2.6 ","144,141 "
,"기타여행","196","10.9 ","4.5 ","23.2 ","31.1 ","23.3 ","7.0 ","142,048 "
"방문횟수","1회","1,833","2.3 ","1.8 ","21.7 ","57.8 ","15.1 ","1.3 ","130,739 "
,"2회","2,370","1.7 ","1.0 ","21.7 ","59.3 ","15.7 ","0.6 ","136,555 "
,"3회","773","2.0 ","1.9 ","21.8 ","53.2 ","19.4 ","1.7 ","139,153 "
,"4회 이상","908","4.4 ","2.3 ","19.8 ","46.0 ","25.5 ","2.1 ","159,166 "
;


;[43]
"　",,"응답자수","2만원 미만","2만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 20만원 미만","20만원 이상","경험없음","[평균]"
"[전체]",,"5,884","4.2 ","3.6 ","2.6 ","1.0 ","0.2 ","88.5 ","4,321"
"거주지","서울시","1,424","4.8 ","4.7 ","3.7 ","1.6 ","0.3 ","84.9 ","6,248 "
,"부산시","697","3.5 ","3.0 ","2.4 ","0.7 ","0.0 ","90.3 ","3,285 "
,"대구시","512","2.6 ","3.3 ","1.2 ","1.2 ","0.0 ","91.8 ","3,107 "
,"인천시","353","2.9 ","2.4 ","2.1 ","0.0 ","0.0 ","92.6 ","2,301 "
,"광주시","205","6.1 ","2.8 ","4.2 ","1.8 ","0.0 ","85.1 ","5,716 "
,"대전시","168","4.8 ","1.7 ","1.5 ","0.0 ","0.0 ","92.1 ","1,523 "
,"울산시","176","2.7 ","2.6 ","1.4 ","0.0 ","0.0 ","93.3 ","1,813 "
,"세종시","32","0.0 ","3.7 ","0.0 ","0.0 ","0.0 ","96.3 ","1,123 "
,"경기도","1,226","3.6 ","3.7 ","2.1 ","0.8 ","0.1 ","89.7 ","3,632 "
,"강원도","95","5.0 ","5.0 ","1.4 ","1.2 ","1.3 ","86.1 ","8,688 "
,"충청도","239","4.3 ","2.7 ","3.9 ","0.5 ","0.6 ","88.0 ","6,017 "
,"전라도","361","4.8 ","3.7 ","2.6 ","0.8 ","0.3 ","87.6 ","4,548 "
,"경상도","385","6.7 ","3.4 ","1.7 ","1.0 ","0.3 ","86.9 ","3,921 "
,"기타 지역","11","0.0 ","0.0 ","11.4 ","11.4 ","0.0 ","77.2 ","17,130 "
"성별","남자","2,456","4.2 ","4.2 ","2.4 ","1.4 ","0.3 ","87.6 ","4,959 "
,"여자","3,428","4.1 ","3.1 ","2.7 ","0.7 ","0.1 ","89.2 ","3,864 "
"연령","15세 - 20세","103","13.9 ","21.4 ","8.2 ","2.3 ","0.0 ","54.2 ","14,859 "
,"21세 - 30세","1,388","6.6 ","6.2 ","4.3 ","1.3 ","0.3 ","81.3 ","6,747 "
,"31세 - 40세","1,491","3.3 ","2.4 ","2.0 ","0.8 ","0.1 ","91.3 ","3,305 "
,"41세 - 50세","1,202","2.8 ","2.1 ","2.0 ","0.4 ","0.1 ","92.6 ","2,700 "
,"51세 - 60세","1,267","3.8 ","2.1 ","1.4 ","1.0 ","0.3 ","91.3 ","3,609 "
,"61세 이상","433","1.9 ","2.8 ","2.3 ","1.8 ","0.0 ","91.2 ","4,113 "
"방문목적","휴가 및 순수여행","5,329","3.2 ","2.9 ","2.2 ","0.7 ","0.1 ","90.9 ","3,435 "
,"비즈니스여행","359","9.8 ","11.3 ","5.9 ","4.8 ","0.3 ","67.8 ","13,494 "
,"기타여행","196","19.8 ","8.3 ","6.3 ","2.4 ","0.7 ","62.5 ","11,591 "
"방문횟수","1회","1,833","3.8 ","3.7 ","2.8 ","1.1 ","0.3 ","88.3 ","4,842 "
,"2회","2,370","3.0 ","2.4 ","2.0 ","0.5 ","0.1 ","91.9 ","2,906 "
,"3회","773","5.4 ","3.8 ","2.9 ","0.3 ","0.0 ","87.6 ","3,570 "
,"4회 이상","908","6.9 ","6.1 ","3.1 ","2.5 ","0.3 ","81.1 ","7,600 "
;



;[44]
"　",,"응답자수","2만원 미만","2만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 20만원 미만","20만원 이상","경험없음","[평균]"
"[전체]",,"5,884","4.7 ","47.9 ","26.3 ","5.2 ","1.2 ","14.7 ","42,268"
"거주지","서울시","1,424","5.2 ","45.0 ","25.6 ","5.5 ","1.1 ","17.6 ","41,353 "
,"부산시","697","4.0 ","49.9 ","30.3 ","3.3 ","0.5 ","12.0 ","41,199 "
,"대구시","512","2.7 ","53.6 ","26.0 ","3.9 ","1.5 ","12.5 ","42,551 "
,"인천시","353","2.8 ","51.9 ","28.6 ","5.5 ","1.1 ","10.2 ","44,093 "
,"광주시","205","2.7 ","38.1 ","29.6 ","6.1 ","1.7 ","21.8 ","41,916 "
,"대전시","168","5.8 ","48.6 ","28.9 ","5.8 ","1.5 ","9.4 ","44,813 "
,"울산시","176","5.7 ","57.2 ","22.1 ","5.5 ","1.4 ","8.1 ","43,671 "
,"세종시","32","0.0 ","51.2 ","30.0 ","11.1 ","0.0 ","7.7 ","43,821 "
,"경기도","1,226","4.6 ","49.4 ","26.9 ","4.3 ","1.4 ","13.5 ","43,671 "
,"강원도","95","7.6 ","35.2 ","26.6 ","12.8 ","1.7 ","16.2 ","46,752 "
,"충청도","239","6.1 ","48.0 ","20.5 ","6.8 ","0.7 ","18.0 ","38,582 "
,"전라도","361","5.9 ","44.5 ","24.9 ","4.5 ","1.6 ","18.5 ","42,413 "
,"경상도","385","5.9 ","46.8 ","22.4 ","7.6 ","0.9 ","16.4 ","40,183 "
,"기타 지역","11","11.4 ","21.2 ","23.0 ","22.8 ","0.0 ","21.6 ","50,345 "
"성별","남자","2,456","5.1 ","42.8 ","26.6 ","6.4 ","1.7 ","17.3 ","43,553 "
,"여자","3,428","4.3 ","51.6 ","26.1 ","4.3 ","0.8 ","12.9 ","41,347 "
"연령","15세 - 20세","103","6.2 ","25.4 ","15.5 ","8.4 ","1.2 ","43.2 ","32,356 "
,"21세 - 30세","1,388","4.2 ","40.7 ","28.6 ","5.7 ","1.1 ","19.7 ","41,397 "
,"31세 - 40세","1,491","4.7 ","50.6 ","27.5 ","5.3 ","0.6 ","11.3 ","42,111 "
,"41세 - 50세","1,202","5.1 ","50.6 ","25.9 ","4.7 ","1.2 ","12.5 ","41,543 "
,"51세 - 60세","1,267","4.6 ","51.5 ","24.2 ","5.0 ","1.9 ","12.9 ","45,385 "
,"61세 이상","433","4.5 ","49.4 ","25.3 ","3.7 ","1.4 ","15.7 ","40,854 "
"방문목적","휴가 및 순수여행","5,329","4.6 ","50.8 ","27.6 ","5.2 ","0.9 ","10.7 ","43,127 "
,"비즈니스여행","359","4.3 ","20.9 ","18.1 ","4.4 ","4.3 ","48.0 ","37,234 "
,"기타여행","196","6.2 ","18.3 ","6.2 ","4.6 ","1.9 ","62.9 ","28,145 "
"방문횟수","1회","1,833","4.8 ","49.4 ","26.9 ","5.1 ","0.7 ","13.1 ","40,841 "
,"2회","2,370","4.1 ","54.6 ","26.5 ","3.8 ","0.6 ","10.3 ","41,673 "
,"3회","773","5.9 ","43.7 ","28.5 ","6.9 ","1.4 ","13.6 ","45,148 "
,"4회 이상","908","4.7 ","30.9 ","23.0 ","7.4 ","3.3 ","30.7 ","44,251 "
;



;[45]
"　",,"응답자수","2만원 미만","2만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 20만원 미만","20만원 이상","경험없음","[평균]"
"[전체]",,"5,884","26.9 ","32.0 ","11.8 ","2.7 ","0.6 ","26.0 ","23,692"
"거주지","서울시","1,424","27.0 ","30.2 ","10.0 ","3.0 ","0.8 ","29.0 ","23,130 "
,"부산시","697","25.5 ","38.2 ","12.4 ","2.5 ","0.7 ","20.7 ","25,683 "
,"대구시","512","32.1 ","28.1 ","12.6 ","2.2 ","0.3 ","24.7 ","22,400 "
,"인천시","353","31.4 ","29.3 ","10.7 ","2.9 ","0.4 ","25.3 ","24,663 "
,"광주시","205","22.2 ","31.3 ","11.1 ","4.6 ","0.0 ","30.8 ","23,767 "
,"대전시","168","29.6 ","32.3 ","11.7 ","1.4 ","0.0 ","25.0 ","20,908 "
,"울산시","176","23.3 ","38.9 ","14.1 ","0.1 ","0.1 ","23.5 ","22,014 "
,"세종시","32","14.4 ","26.6 ","15.5 ","0.7 ","0.0 ","42.8 ","19,063 "
,"경기도","1,226","27.7 ","30.8 ","11.7 ","2.3 ","0.5 ","26.9 ","22,116 "
,"강원도","95","24.5 ","31.4 ","14.7 ","2.6 ","0.0 ","26.9 ","22,487 "
,"충청도","239","23.3 ","32.9 ","14.7 ","4.2 ","0.0 ","24.9 ","24,755 "
,"전라도","361","25.5 ","37.8 ","12.3 ","2.9 ","0.5 ","21.0 ","25,803 "
,"경상도","385","23.1 ","31.2 ","14.3 ","3.7 ","1.7 ","25.9 ","27,583 "
,"기타 지역","11","23.3 ","21.2 ","0.0 ","0.0 ","11.4 ","44.1 ","38,660 "
"성별","남자","2,456","24.3 ","29.3 ","12.5 ","3.1 ","0.5 ","30.3 ","23,468 "
,"여자","3,428","28.7 ","34.0 ","11.4 ","2.4 ","0.6 ","22.9 ","23,852 "
"연령","15세 - 20세","103","28.7 ","15.7 ","13.6 ","3.4 ","1.2 ","37.4 ","21,698 "
,"21세 - 30세","1,388","31.9 ","27.3 ","8.0 ","2.1 ","0.3 ","30.4 ","18,297 "
,"31세 - 40세","1,491","30.8 ","29.4 ","12.7 ","2.6 ","0.6 ","24.0 ","23,623 "
,"41세 - 50세","1,202","22.3 ","34.0 ","13.4 ","3.4 ","0.5 ","26.3 ","26,424 "
,"51세 - 60세","1,267","22.1 ","37.5 ","12.5 ","2.4 ","0.8 ","24.8 ","25,348 "
,"61세 이상","433","23.4 ","38.5 ","14.5 ","3.9 ","1.1 ","18.6 ","29,274 "
"방문목적","휴가 및 순수여행","5,329","28.3 ","34.2 ","12.5 ","2.7 ","0.6 ","21.7 ","24,854 "
,"비즈니스여행","359","13.3 ","9.8 ","4.0 ","0.9 ","0.7 ","71.2 ","9,665 "
,"기타여행","196","14.2 ","13.9 ","6.7 ","5.1 ","1.2 ","58.8 ","17,795 "
"방문횟수","1회","1,833","27.4 ","35.3 ","14.7 ","2.6 ","0.7 ","19.3 ","26,544 "
,"2회","2,370","30.3 ","34.3 ","11.7 ","2.6 ","0.5 ","20.6 ","24,459 "
,"3회","773","24.5 ","29.8 ","9.4 ","3.4 ","0.4 ","32.5 ","21,069 "
,"4회 이상","908","18.8 ","21.5 ","8.6 ","2.5 ","0.7 ","47.9 ","18,167 "
;




;[46]
"　",,"응답자수","2만원 미만","2만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 20만원 미만","20만원 이상","경험없음","[평균]"
"[전체]",,"5,884","3.6 ","4.5 ","2.9 ","1.8 ","2.1 ","85.2 ","11,714 "
"거주지","서울시","1,424","3.2 ","4.2 ","2.9 ","2.7 ","2.6 ","84.3 ","13,926 "
,"부산시","697","3.8 ","4.8 ","4.4 ","2.8 ","4.8 ","79.3 ","21,033 "
,"대구시","512","1.7 ","2.6 ","3.0 ","2.4 ","1.9 ","88.4 ","13,628 "
,"인천시","353","3.5 ","3.9 ","2.3 ","0.0 ","1.4 ","88.7 ","6,353 "
,"광주시","205","3.3 ","6.6 ","3.1 ","1.9 ","1.8 ","83.3 ","13,716 "
,"대전시","168","2.1 ","5.8 ","1.7 ","0.0 ","1.4 ","88.8 ","6,329 "
,"울산시","176","5.0 ","6.4 ","2.2 ","0.1 ","1.9 ","84.4 ","8,970 "
,"세종시","32","3.7 ","4.2 ","3.7 ","8.3 ","3.9 ","76.2 ","22,572 "
,"경기도","1,226","3.8 ","4.9 ","2.1 ","0.7 ","0.8 ","87.7 ","6,063 "
,"강원도","95","2.5 ","5.1 ","4.9 ","0.0 ","0.0 ","87.5 ","4,087 "
,"충청도","239","6.1 ","5.3 ","1.1 ","2.7 ","0.5 ","84.2 ","8,139 "
,"전라도","361","4.8 ","4.4 ","4.1 ","1.2 ","1.1 ","84.4 ","11,331 "
,"경상도","385","4.0 ","3.6 ","3.7 ","1.7 ","2.2 ","84.8 ","12,675 "
,"기타 지역","11","0.0 ","0.0 ","0.0 ","0.0 ","11.1 ","88.9 ","27,723 "
"성별","남자","2,456","4.2 ","4.9 ","3.3 ","2.8 ","3.8 ","81.0 ","19,086 "
,"여자","3,428","3.1 ","4.2 ","2.7 ","1.0 ","0.8 ","88.2 ","6,434 "
"연령","15세 - 20세","103","3.4 ","1.3 ","3.3 ","0.0 ","0.0 ","92.1 ","3,055 "
,"21세 - 30세","1,388","4.5 ","3.4 ","3.2 ","1.0 ","0.1 ","87.9 ","4,788 "
,"31세 - 40세","1,491","3.3 ","4.5 ","2.3 ","2.0 ","0.4 ","87.4 ","6,768 "
,"41세 - 50세","1,202","3.2 ","5.8 ","3.6 ","2.4 ","2.8 ","82.4 ","14,909 "
,"51세 - 60세","1,267","3.4 ","5.2 ","3.2 ","2.2 ","6.3 ","79.8 ","25,455 "
,"61세 이상","433","3.2 ","3.2 ","1.2 ","1.1 ","0.3 ","90.9 ","3,930 "
"방문목적","휴가 및 순수여행","5,329","3.8 ","4.7 ","2.9 ","1.7 ","2.2 ","84.7 ","12,152 "
,"비즈니스여행","359","0.7 ","2.3 ","3.7 ","2.6 ","1.5 ","89.1 ","9,686 "
,"기타여행","196","3.7 ","1.8 ","2.5 ","0.8 ","0.1 ","91.1 ","3,550 "
"방문횟수","1회","5,884","4.6 ","4.5 ","3.2 ","0.8 ","0.7 ","86.2 ","6,491 "
,"2회","1,833","3.5 ","5.2 ","2.6 ","1.9 ","1.3 ","85.5 ","9,798 "
,"3회","2,370","2.9 ","3.5 ","3.9 ","2.4 ","4.0 ","83.3 ","18,226 "
,"4회 이상","773","2.3 ","3.5 ","2.2 ","3.0 ","5.1 ","83.9 ","21,715 "
;



;[47]
"　",,"응답자수","1만원 미만","1만원 이상 - 3만원 미만","3만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상","경험없음","[평균]"
"[전체]",,"5,884","0.4 ","1.6 ","0.6 ","1.2 ","1.6 ","94.5 ","4,995 "
"거주지","서울시","1,424","0.2 ","1.1 ","0.6 ","1.1 ","2.1 ","95.0 ","5,709 "
,"부산시","697","0.2 ","0.8 ","0.3 ","0.7 ","1.3 ","96.8 ","2,389 "
,"대구시","512","0.0 ","1.1 ","0.8 ","1.3 ","0.8 ","96.0 ","2,158 "
,"인천시","353","0.8 ","3.2 ","0.7 ","1.1 ","0.9 ","93.4 ","6,307 "
,"광주시","205","0.1 ","2.4 ","0.1 ","1.2 ","1.8 ","94.4 ","3,341 "
,"대전시","168","1.3 ","1.9 ","1.0 ","0.8 ","1.5 ","93.5 ","7,820 "
,"울산시","176","0.0 ","1.0 ","0.7 ","2.3 ","2.1 ","93.9 ","5,876 "
,"세종시","32","0.0 ","3.9 ","3.9 ","0.6 ","0.6 ","91.1 ","3,663 "
,"경기도","1,226","0.6 ","1.9 ","0.8 ","0.8 ","1.1 ","94.7 ","4,310 "
,"강원도","95","0.0 ","0.2 ","0.0 ","3.9 ","3.8 ","92.1 ","6,676 "
,"충청도","239","1.1 ","1.5 ","0.8 ","1.3 ","1.7 ","93.6 ","3,100 "
,"전라도","361","0.6 ","3.0 ","0.7 ","1.4 ","1.5 ","92.9 ","4,470 "
,"경상도","385","0.7 ","2.4 ","0.3 ","2.5 ","2.5 ","91.5 ","7,608 "
,"기타 지역","11","0.0 ","0.0 ","11.4 ","0.0 ","11.4 ","77.2 ","175,111 "
"성별","남자","2,456","0.5 ","1.9 ","0.9 ","1.4 ","2.4 ","92.9 ","7,484 "
,"여자","3,428","0.3 ","1.4 ","0.5 ","1.0 ","1.0 ","95.7 ","3,212 "
"연령","15세 - 20세","103","1.2 ","1.1 ","0.0 ","0.0 ","1.1 ","96.6 ","1,239 "
,"21세 - 30세","1,388","0.4 ","2.4 ","0.4 ","1.4 ","1.3 ","94.2 ","5,377 "
,"31세 - 40세","1,491","0.4 ","1.6 ","0.4 ","0.8 ","2.2 ","94.6 ","5,313 "
,"41세 - 50세","1,202","0.4 ","1.7 ","0.9 ","1.6 ","1.6 ","93.8 ","6,162 "
,"51세 - 60세","1,267","0.4 ","1.0 ","0.8 ","1.1 ","1.4 ","95.3 ","3,729 "
,"61세 이상","433","0.3 ","1.3 ","1.2 ","1.3 ","1.4 ","94.5 ","4,036 "
"방문목적","휴가 및 순수여행","5,329","0.4 ","1.5 ","0.6 ","1.1 ","1.1 ","95.4 ","3,015 "
,"비즈니스여행","359","0.4 ","2.8 ","0.5 ","2.2 ","2.8 ","91.2 ","13,255 "
,"기타여행","196","1.2 ","3.4 ","2.0 ","3.2 ","12.7 ","77.5 ","43,634 "
"방문횟수","1회","1,833","0.5 ","1.0 ","0.6 ","0.8 ","1.1 ","96.0 ","3,396 "
,"2회","2,370","0.3 ","1.6 ","0.6 ","0.9 ","1.3 ","95.3 ","3,217 "
,"3회","773","0.7 ","2.1 ","0.5 ","1.7 ","1.6 ","93.4 ","3,876 "
,"4회 이상","908","0.2 ","2.6 ","1.1 ","2.3 ","3.5 ","90.4 ","13,811 "
;



;[48]
"　",,"응답자수","3만원 미만","3만원 이상 - 5만원 미만","5만원 이상 - 10만원 미만","10만원 이상 - 15만원 미만","15만원 이상","[평균]"
"[전체]",,"5,884","2.0 ","1.3 ","21.5 ","44.5 ","30.6 ","125,467"
"거주지","서울시","1,424","2.7 ","1.4 ","19.3 ","42.1 ","34.5 ","126,982"
,"부산시","697","1.9 ","0.5 ","21.9 ","48.2 ","27.4 ","122,341"
,"대구시","512","1.7 ","1.0 ","21.8 ","48.8 ","26.7 ","121,744"
,"인천시","353","1.1 ","1.6 ","22.0 ","44.3 ","31.0 ","136,660"
,"광주시","205","0.8 ","2.4 ","26.9 ","43.6 ","26.3 ","119,653"
,"대전시","168","1.5 ","0.9 ","13.1 ","41.4 ","43.2 ","151,986"
,"울산시","176","1.4 ","3.0 ","17.8 ","51.8 ","26.0 ","119,293"
,"세종시","32","0.0 ","0.0 ","14.1 ","49.2 ","36.7 ","136,586"
,"경기도","1,226","2.3 ","1.0 ","22.6 ","45.1 ","29.0 ","123,475"
,"강원도","95","6.3 ","1.4 ","15.6 ","40.2 ","36.4 ","121,226"
,"충청도","239","0.6 ","0.7 ","21.7 ","42.3 ","34.7 ","129,382"
,"전라도","361","1.2 ","2.7 ","28.9 ","42.9 ","24.3 ","117,222"
,"경상도","385","1.9 ","1.4 ","22.2 ","42.2 ","32.2 ","126,248"
,"기타 지역","11","11.1 ","11.4 ","0.0 ","43.1 ","34.4 ","104,160"
"성별","남자","2,456","2.1 ","1.6 ","18.9 ","43.1 ","34.3 ","131,151"
,"여자","3,428","2.0 ","1.1 ","23.4 ","45.6 ","28.0 ","121,322"
"연령","15세 - 20세","103","7.1 ","4.4 ","46.2 ","29.0 ","13.2 ","97,068"
,"21세 - 30세","1,388","1.7 ","1.6 ","26.6 ","44.0 ","26.0 ","118,137"
,"31세 - 40세","1,491","1.9 ","1.3 ","23.6 ","44.3 ","28.8 ","123,164"
,"41세 - 50세","1,202","1.3 ","0.9 ","18.5 ","45.0 ","34.2 ","132,929"
,"51세 - 60세","1,267","2.2 ","1.3 ","15.7 ","45.0 ","35.9 ","132,359"
,"61세 이상","433","3.5 ","1.1 ","16.9 ","48.2 ","30.4 ","122,197"
"방문목적","휴가 및 순수여행","5,329","2.0 ","1.3 ","21.7 ","45.4 ","29.7 ","124,047"
,"비즈니스여행","359","2.2 ","0.9 ","17.1 ","35.3 ","44.5 ","150,863"
,"기타여행","196","3.2 ","3.2 ","24.3 ","37.9 ","31.4 ","116,288"
"방문횟수","1회","1,833","2.0 ","1.2 ","20.7 ","44.8 ","31.4 ","124,803"
,"2회","2,370","2.3 ","1.3 ","22.3 ","45.4 ","28.7 ","123,126"
,"3회","773","2.5 ","1.4 ","21.4 ","45.7 ","29.0 ","125,566"
